industry,sub_industry,total_market_cap,num_of_companies,companies,top_mcap_gainers,top_price_change
Beverages,Liquors,16684116574208,5,"[{""symbol"":""MLBI.JK"",""name"":""Multi Bintang Indonesia Tbk"",""market_cap_rank"":120,""employee_num"":412,""point_summaries"":[{""name"":""value"",""point"":5.5,""maxpoint"":23},{""name"":""competitive"",""point"":13.5,""maxpoint"":21},{""name"":""future"",""point"":12,""maxpoint"":18},{""name"":""financials"",""point"":23.5,""maxpoint"":27},{""name"":""dividend"",""point"":12,""maxpoint"":21.5},{""updatedAt"":""2025-01-05T23:01:57.749Z""}]},{""symbol"":""DLTA.JK"",""name"":""Delta Djakarta Tbk"",""market_cap_rank"":342,""employee_num"":369,""point_summaries"":[{""name"":""value"",""point"":0,""maxpoint"":17},{""name"":""competitive"",""point"":9.5,""maxpoint"":21},{""name"":""future"",""point"":12,""maxpoint"":18},{""name"":""financials"",""point"":0,""maxpoint"":7.5},{""name"":""dividend"",""point"":10,""maxpoint"":21.5},{""updatedAt"":""2025-01-05T23:01:57.309Z""}]},{""symbol"":""WINE.JK"",""name"":""PT Hatten Bali Tbk"",""market_cap_rank"":478,""employee_num"":99,""point_summaries"":[{""name"":""value"",""point"":2,""maxpoint"":20},{""name"":""competitive"",""point"":6,""maxpoint"":21},{""name"":""future"",""point"":12,""maxpoint"":18},{""name"":""financials"",""point"":14.5,""maxpoint"":27},{""name"":""dividend"",""point"":1.5,""maxpoint"":19.5},{""updatedAt"":""2025-01-03T23:02:39.459Z""}]}]","{""symbol"":""STRK.JK"",""name"":""PT Lovina Beach Brewery Tbk."",""market_cap_change"":-0.0909006092347763}","{""symbol"":""STRK.JK"",""name"":""PT Lovina Beach Brewery Tbk."",""price_change"":-0.0909090909090909}"
Insurance,General Insurance,14972777668608,14,"[{""symbol"":""PNIN.JK"",""name"":""Paninvest Tbk"",""market_cap_rank"":218,""employee_num"":11293,""point_summaries"":[{""name"":""value"",""point"":15,""maxpoint"":20},{""name"":""competitive"",""point"":14.5,""maxpoint"":21},{""name"":""future"",""point"":3,""maxpoint"":3},{""name"":""financials"",""point"":15,""maxpoint"":27},{""name"":""dividend"",""point"":1.5,""maxpoint"":15.5},{""updatedAt"":""2025-01-05T23:01:57.853Z""}]},{""symbol"":""TUGU.JK"",""name"":""PT Asuransi Tugu Pratama Indonesia Tbk"",""market_cap_rank"":235,""employee_num"":357,""point_summaries"":[{""name"":""value"",""point"":11,""maxpoint"":20},{""name"":""competitive"",""point"":12.5,""maxpoint"":21},{""name"":""future"",""point"":3,""maxpoint"":3},{""name"":""financials"",""point"":22,""maxpoint"":27},{""name"":""dividend"",""point"":13,""maxpoint"":21.5},{""updatedAt"":""2025-01-05T23:01:58.149Z""}]},{""symbol"":""ABDA.JK"",""name"":""Asuransi Bina Dana Arta Tbk"",""market_cap_rank"":292,""employee_num"":371,""point_summaries"":[{""name"":""value"",""point"":2,""maxpoint"":17},{""name"":""competitive"",""point"":12,""maxpoint"":21},{""name"":""future"",""point"":3,""maxpoint"":3},{""name"":""financials"",""point"":3,""maxpoint"":7.5},{""name"":""dividend"",""point"":3.5,""maxpoint"":21.5},{""updatedAt"":""2025-01-09T23:02:52.772Z""}]}]","{""symbol"":""MTWI.JK"",""name"":""PT Malacca Trust Wuwungan Insurance Tbk."",""market_cap_change"":1.11999997310875}","{""symbol"":""MTWI.JK"",""name"":""PT Malacca Trust Wuwungan Insurance Tbk."",""price_change"":1.12}"
Telecommunication Service,Wired Telecommunication Service,14623093501952,7,"[{""symbol"":""MORA.JK"",""name"":""PT Mora Telematika Indonesia Tbk"",""market_cap_rank"":154,""employee_num"":1497,""point_summaries"":[{""name"":""value"",""point"":10,""maxpoint"":23},{""name"":""competitive"",""point"":9,""maxpoint"":21},{""name"":""future"",""point"":16,""maxpoint"":18},{""name"":""financials"",""point"":6,""maxpoint"":27},{""name"":""dividend"",""point"":1.5,""maxpoint"":15.5},{""updatedAt"":""2025-01-05T23:01:57.752Z""}]},{""symbol"":""LINK.JK"",""name"":""PT Link Net Tbk."",""market_cap_rank"":243,""employee_num"":746,""point_summaries"":[{""name"":""value"",""point"":10,""maxpoint"":23},{""name"":""competitive"",""point"":1.5,""maxpoint"":21},{""name"":""future"",""point"":16,""maxpoint"":18},{""name"":""financials"",""point"":0,""maxpoint"":27},{""name"":""dividend"",""point"":5.5,""maxpoint"":21.5},{""updatedAt"":""2025-01-03T23:02:38.823Z""}]},{""symbol"":""DATA.JK"",""name"":""PT Remala Abadi Tbk"",""market_cap_rank"":421,""employee_num"":385,""point_summaries"":[{""name"":""value"",""point"":null,""maxpoint"":null},{""name"":""competitive"",""point"":0,""maxpoint"":10.5},{""name"":""future"",""point"":16,""maxpoint"":18},{""name"":""financials"",""point"":0,""maxpoint"":0},{""name"":""dividend"",""point"":1.5,""maxpoint"":15.5},{""updatedAt"":""2025-01-03T23:02:38.506Z""}]}]","{""symbol"":""DATA.JK"",""name"":""PT Remala Abadi Tbk"",""market_cap_change"":2.0753967653815}","{""symbol"":""DATA.JK"",""name"":""PT Remala Abadi Tbk"",""price_change"":2.07539682539683}"
Specialty Retail,Automotive Retail,13824530972672,6,"[{""symbol"":""MPMX.JK"",""name"":""PT Mitra Pinasthika Mustika Tbk."",""market_cap_rank"":212,""employee_num"":1344,""point_summaries"":[{""name"":""value"",""point"":14.5,""maxpoint"":23},{""name"":""competitive"",""point"":4.5,""maxpoint"":25.5},{""name"":""future"",""point"":18,""maxpoint"":18},{""name"":""financials"",""point"":19.5,""maxpoint"":27},{""name"":""dividend"",""point"":14.5,""maxpoint"":21.5},{""updatedAt"":""2024-12-31T23:02:43.314Z""}]},{""symbol"":""IMAS.JK"",""name"":""Indomobil Sukses Internasional Tbk"",""market_cap_rank"":240,""employee_num"":7639,""point_summaries"":[{""name"":""value"",""point"":7.5,""maxpoint"":17},{""name"":""competitive"",""point"":4.5,""maxpoint"":25.5},{""name"":""future"",""point"":18,""maxpoint"":18},{""name"":""financials"",""point"":4.5,""maxpoint"":12},{""name"":""dividend"",""point"":3.5,""maxpoint"":21.5},{""updatedAt"":""2025-01-03T23:02:38.661Z""}]},{""symbol"":""BOGA.JK"",""name"":""PT Bintang Oto Global Tbk"",""market_cap_rank"":315,""employee_num"":281,""point_summaries"":[{""name"":""value"",""point"":1,""maxpoint"":23},{""name"":""competitive"",""point"":0,""maxpoint"":25.5},{""name"":""future"",""point"":18,""maxpoint"":18},{""name"":""financials"",""point"":6,""maxpoint"":27},{""name"":""dividend"",""point"":1.5,""maxpoint"":15.5},{""updatedAt"":""2025-01-05T23:01:57.173Z""}]}]","{""symbol"":""CARS.JK"",""name"":""PT Industri dan Perdagangan Bintraco Dharma Tbk"",""market_cap_change"":-0.0526316128348636}","{""symbol"":""CARS.JK"",""name"":""PT Industri dan Perdagangan Bintraco Dharma Tbk"",""price_change"":-0.0526315789473684}"
Metals & Minerals,Aluminum,13439796969472,5,"[{""symbol"":""CITA.JK"",""name"":""Cita Mineral Investindo Tbk"",""market_cap_rank"":122,""employee_num"":258,""point_summaries"":[{""name"":""value"",""point"":4,""maxpoint"":23},{""name"":""competitive"",""point"":7.5,""maxpoint"":21},{""name"":""future"",""point"":12,""maxpoint"":18},{""name"":""financials"",""point"":7.5,""maxpoint"":12},{""name"":""dividend"",""point"":10.5,""maxpoint"":21.5},{""updatedAt"":""2025-01-05T23:01:57.250Z""}]},{""symbol"":""ALMI.JK"",""name"":""Alumindo Light Metal Industry Tbk"",""market_cap_rank"":652,""employee_num"":null,""point_summaries"":[{""name"":""value"",""point"":8,""maxpoint"":23},{""name"":""competitive"",""point"":1.5,""maxpoint"":21},{""name"":""future"",""point"":12,""maxpoint"":18},{""name"":""financials"",""point"":18,""maxpoint"":27},{""name"":""dividend"",""point"":1.5,""maxpoint"":15.5},{""updatedAt"":""2025-01-01T23:02:35.664Z""}]},{""symbol"":""ALKA.JK"",""name"":""Alakasa Industrindo Tbk"",""market_cap_rank"":712,""employee_num"":26,""point_summaries"":[{""name"":""value"",""point"":null,""maxpoint"":null},{""name"":""competitive"",""point"":0,""maxpoint"":16.5},{""name"":""future"",""point"":12,""maxpoint"":18},{""name"":""financials"",""point"":7.5,""maxpoint"":7.5},{""name"":""dividend"",""point"":1.5,""maxpoint"":15.5},{""updatedAt"":""2025-01-05T23:01:57.007Z""}]}]","{""symbol"":""CITA.JK"",""name"":""Cita Mineral Investindo Tbk"",""market_cap_change"":0.848484852537004}","{""symbol"":""CITA.JK"",""name"":""Cita Mineral Investindo Tbk"",""price_change"":0.848484848484849}"
Apparel & Luxury Goods,Textiles,12469763590399,16,"[{""symbol"":""TFCO.JK"",""name"":""Tifico Fiber Indonesia Tbk"",""market_cap_rank"":253,""employee_num"":835,""point_summaries"":[{""name"":""value"",""point"":3,""maxpoint"":20},{""name"":""competitive"",""point"":15,""maxpoint"":21},{""name"":""future"",""point"":13.5,""maxpoint"":18},{""name"":""financials"",""point"":20.5,""maxpoint"":27},{""name"":""dividend"",""point"":1.5,""maxpoint"":15.5},{""updatedAt"":""2025-01-03T23:02:39.344Z""}]},{""symbol"":""SRIL.JK"",""name"":""PT Sri Rejeki Isman Tbk"",""market_cap_rank"":257,""employee_num"":null,""point_summaries"":[{""name"":""value"",""point"":4,""maxpoint"":20},{""name"":""competitive"",""point"":13.5,""maxpoint"":21},{""name"":""future"",""point"":13.5,""maxpoint"":18},{""name"":""financials"",""point"":9,""maxpoint"":27},{""name"":""dividend"",""point"":1.5,""maxpoint"":21.5},{""updatedAt"":""2025-01-03T23:02:39.300Z""}]},{""symbol"":""ARGO.JK"",""name"":""Argo Pantes Tbk"",""market_cap_rank"":269,""employee_num"":10,""point_summaries"":[{""name"":""value"",""point"":0,""maxpoint"":23},{""name"":""competitive"",""point"":9,""maxpoint"":15},{""name"":""future"",""point"":13.5,""maxpoint"":18},{""name"":""financials"",""point"":7.5,""maxpoint"":27},{""name"":""dividend"",""point"":1.5,""maxpoint"":15.5},{""updatedAt"":""2025-01-05T23:01:57.030Z""}]}]","{""symbol"":""SPRE.JK"",""name"":""PT Soraya Berjaya Indonesia Tbk"",""market_cap_change"":0.328467237250256}","{""symbol"":""SPRE.JK"",""name"":""PT Soraya Berjaya Indonesia Tbk"",""price_change"":0.328467153284672}"
Metals & Minerals,Iron & Steel,10576545316864,9,"[{""symbol"":""GGRP.JK"",""name"":""PT Gunung Raja Paksi Tbk."",""market_cap_rank"":260,""employee_num"":1586,""point_summaries"":[{""name"":""value"",""point"":13,""maxpoint"":20},{""name"":""competitive"",""point"":6,""maxpoint"":21},{""name"":""future"",""point"":12,""maxpoint"":18},{""name"":""financials"",""point"":15,""maxpoint"":27},{""name"":""dividend"",""point"":1.5,""maxpoint"":21.5},{""updatedAt"":""2025-01-07T23:01:56.989Z""}]},{""symbol"":""CTBN.JK"",""name"":""Citra Tubindo Tbk"",""market_cap_rank"":308,""employee_num"":713,""point_summaries"":[{""name"":""value"",""point"":7,""maxpoint"":23},{""name"":""competitive"",""point"":10.5,""maxpoint"":21},{""name"":""future"",""point"":12,""maxpoint"":18},{""name"":""financials"",""point"":23.5,""maxpoint"":27},{""name"":""dividend"",""point"":1.5,""maxpoint"":15.5},{""updatedAt"":""2025-01-05T23:01:57.276Z""}]},{""symbol"":""KRAS.JK"",""name"":""Krakatau Steel (Persero) Tbk"",""market_cap_rank"":311,""employee_num"":4001,""point_summaries"":[{""name"":""value"",""point"":13,""maxpoint"":23},{""name"":""competitive"",""point"":6,""maxpoint"":21},{""name"":""future"",""point"":12,""maxpoint"":18},{""name"":""financials"",""point"":3,""maxpoint"":27},{""name"":""dividend"",""point"":1.5,""maxpoint"":15.5},{""updatedAt"":""2024-12-31T23:02:43.152Z""}]}]","{""symbol"":""CTBN.JK"",""name"":""Citra Tubindo Tbk"",""market_cap_change"":0.951219595698408}","{""symbol"":""CTBN.JK"",""name"":""Citra Tubindo Tbk"",""price_change"":0.951219512195122}"
Food & Staples Retailing,Food Retail & Distributors,10320764178432,5,"[{""symbol"":""DMND.JK"",""name"":""PT Diamond Food Indonesia Tbk."",""market_cap_rank"":163,""employee_num"":null,""point_summaries"":[{""name"":""value"",""point"":4,""maxpoint"":20},{""name"":""competitive"",""point"":11,""maxpoint"":21},{""name"":""future"",""point"":13.5,""maxpoint"":18},{""name"":""financials"",""point"":20.5,""maxpoint"":27},{""name"":""dividend"",""point"":1.5,""maxpoint"":15.5},{""updatedAt"":""2025-01-03T23:02:38.519Z""}]},{""symbol"":""BUAH.JK"",""name"":""PT Segar Kumala Indonesia Tbk"",""market_cap_rank"":323,""employee_num"":421,""point_summaries"":[{""name"":""value"",""point"":2,""maxpoint"":23},{""name"":""competitive"",""point"":4.5,""maxpoint"":21},{""name"":""future"",""point"":13.5,""maxpoint"":18},{""name"":""financials"",""point"":26,""maxpoint"":27},{""name"":""dividend"",""point"":2.5,""maxpoint"":21.5},{""updatedAt"":""2025-01-05T23:01:57.215Z""}]},{""symbol"":""KMDS.JK"",""name"":""PT Kurniamitra Duta Sentosa Tbk."",""market_cap_rank"":562,""employee_num"":95,""point_summaries"":[{""name"":""value"",""point"":null,""maxpoint"":null},{""name"":""competitive"",""point"":6,""maxpoint"":16.5},{""name"":""future"",""point"":13.5,""maxpoint"":18},{""name"":""financials"",""point"":6.5,""maxpoint"":7.5},{""name"":""dividend"",""point"":14.5,""maxpoint"":21.5},{""updatedAt"":""2025-01-05T23:01:57.648Z""}]}]","{""symbol"":""KMDS.JK"",""name"":""PT Kurniamitra Duta Sentosa Tbk."",""market_cap_change"":0.379717090039165}","{""symbol"":""KMDS.JK"",""name"":""PT Kurniamitra Duta Sentosa Tbk."",""price_change"":0.379716981132075}"
Tourism & Recreation,Restaurants,9893219061760,11,"[{""symbol"":""MAPB.JK"",""name"":""PT MAP Boga Adiperkasa Tbk."",""market_cap_rank"":262,""employee_num"":7155,""point_summaries"":[{""name"":""value"",""point"":5.5,""maxpoint"":20},{""name"":""competitive"",""point"":10.5,""maxpoint"":21},{""name"":""future"",""point"":13.5,""maxpoint"":18},{""name"":""financials"",""point"":13,""maxpoint"":27},{""name"":""dividend"",""point"":1.5,""maxpoint"":15.5},{""updatedAt"":""2025-01-07T23:01:57.368Z""}]},{""symbol"":""CSMI.JK"",""name"":""PT Cipta Selera Murni Tbk."",""market_cap_rank"":273,""employee_num"":null,""point_summaries"":[{""name"":""value"",""point"":0,""maxpoint"":23},{""name"":""competitive"",""point"":11.5,""maxpoint"":21},{""name"":""future"",""point"":13.5,""maxpoint"":18},{""name"":""financials"",""point"":8.5,""maxpoint"":22.5},{""name"":""dividend"",""point"":1.5,""maxpoint"":15.5},{""updatedAt"":""2025-01-03T23:02:38.502Z""}]},{""symbol"":""ENAK.JK"",""name"":""PT Champ Resto Indonesia Tbk"",""market_cap_rank"":334,""employee_num"":1283,""point_summaries"":[{""name"":""value"",""point"":4.5,""maxpoint"":23},{""name"":""competitive"",""point"":15,""maxpoint"":21},{""name"":""future"",""point"":13.5,""maxpoint"":18},{""name"":""financials"",""point"":0,""maxpoint"":27},{""name"":""dividend"",""point"":1.5,""maxpoint"":21.5},{""updatedAt"":""2025-01-05T23:01:57.354Z""}]}]","{""symbol"":""PGLI.JK"",""name"":""Pembangunan Graha Lestari Indah Tbk"",""market_cap_change"":0.369862897144919}","{""symbol"":""PGLI.JK"",""name"":""Pembangunan Graha Lestari Indah Tbk"",""price_change"":0.36986301369863}"
Investment Services,Investment Banking & Brokerage Services,9057303740416,5,"[{""symbol"":""YULE.JK"",""name"":""Yulie Sekuritas Indonesia Tbk"",""market_cap_rank"":206,""employee_num"":37,""point_summaries"":[{""name"":""value"",""point"":2,""maxpoint"":23},{""name"":""competitive"",""point"":10.5,""maxpoint"":25.5},{""name"":""future"",""point"":3,""maxpoint"":3},{""name"":""financials"",""point"":13.5,""maxpoint"":27},{""name"":""dividend"",""point"":1.5,""maxpoint"":15.5},{""updatedAt"":""2025-01-03T23:02:39.464Z""}]},{""symbol"":""TRIM.JK"",""name"":""PT Trimegah Sekuritas Indonesia Tbk"",""market_cap_rank"":291,""employee_num"":275,""point_summaries"":[{""name"":""value"",""point"":6.5,""maxpoint"":23},{""name"":""competitive"",""point"":9,""maxpoint"":21},{""name"":""future"",""point"":3,""maxpoint"":3},{""name"":""financials"",""point"":11.5,""maxpoint"":27},{""name"":""dividend"",""point"":1.5,""maxpoint"":15.5},{""updatedAt"":""2025-01-05T23:01:58.130Z""}]},{""symbol"":""PANS.JK"",""name"":""Panin Sekuritas Tbk"",""market_cap_rank"":422,""employee_num"":311,""point_summaries"":[{""name"":""value"",""point"":12.5,""maxpoint"":23},{""name"":""competitive"",""point"":1.5,""maxpoint"":21},{""name"":""future"",""point"":3,""maxpoint"":3},{""name"":""financials"",""point"":22.5,""maxpoint"":27},{""name"":""dividend"",""point"":12,""maxpoint"":21.5},{""updatedAt"":""2025-01-05T23:01:57.830Z""}]}]","{""symbol"":""TRIM.JK"",""name"":""PT Trimegah Sekuritas Indonesia Tbk"",""market_cap_change"":0.312056689829999}","{""symbol"":""TRIM.JK"",""name"":""PT Trimegah Sekuritas Indonesia Tbk"",""price_change"":0.312056737588652}"
Passenger Land Transportation,Road Transportation,8619265585152,9,"[{""symbol"":""BIRD.JK"",""name"":""PT Blue Bird Tbk"",""market_cap_rank"":222,""employee_num"":3054,""point_summaries"":[{""name"":""value"",""point"":10.5,""maxpoint"":23},{""name"":""competitive"",""point"":13.5,""maxpoint"":21},{""name"":""future"",""point"":14.5,""maxpoint"":30},{""name"":""financials"",""point"":21.5,""maxpoint"":27},{""name"":""dividend"",""point"":13,""maxpoint"":19.5},{""updatedAt"":""2025-01-05T23:01:57.134Z""}]},{""symbol"":""ASSA.JK"",""name"":""Adi Sarana Armada Tbk"",""market_cap_rank"":284,""employee_num"":1534,""point_summaries"":[{""name"":""value"",""point"":3,""maxpoint"":20},{""name"":""competitive"",""point"":15,""maxpoint"":21},{""name"":""future"",""point"":8.5,""maxpoint"":18},{""name"":""financials"",""point"":1,""maxpoint"":27},{""name"":""dividend"",""point"":13.5,""maxpoint"":21.5},{""updatedAt"":""2025-01-03T23:02:38.383Z""}]},{""symbol"":""IMJS.JK"",""name"":""PT Indomobil Multi Jasa Tbk."",""market_cap_rank"":402,""employee_num"":2461,""point_summaries"":[{""name"":""value"",""point"":6,""maxpoint"":20},{""name"":""competitive"",""point"":15,""maxpoint"":21},{""name"":""future"",""point"":8.5,""maxpoint"":18},{""name"":""financials"",""point"":1,""maxpoint"":27},{""name"":""dividend"",""point"":3.5,""maxpoint"":21.5},{""updatedAt"":""2025-01-05T23:01:57.532Z""}]}]","{""symbol"":""BPTR.JK"",""name"":""PT Batavia Prosperindo Trans Tbk."",""market_cap_change"":-0.0786516994402917}","{""symbol"":""BPTR.JK"",""name"":""PT Batavia Prosperindo Trans Tbk."",""price_change"":-0.0786516853932584}"
Computer Hardware,Computer Hardware,8360889303040,5,"[{""symbol"":""MTDL.JK"",""name"":""Metrodata Electronics Tbk"",""market_cap_rank"":166,""employee_num"":4403,""point_summaries"":[{""name"":""value"",""point"":8.5,""maxpoint"":20},{""name"":""competitive"",""point"":19.5,""maxpoint"":21},{""name"":""future"",""point"":2,""maxpoint"":3},{""name"":""financials"",""point"":17.5,""maxpoint"":27},{""name"":""dividend"",""point"":7,""maxpoint"":19.5},{""updatedAt"":""2025-01-05T23:01:57.769Z""}]},{""symbol"":""AXIO.JK"",""name"":""PT Tera Data Indonusa Tbk"",""market_cap_rank"":495,""employee_num"":120,""point_summaries"":[{""name"":""value"",""point"":null,""maxpoint"":null},{""name"":""competitive"",""point"":2,""maxpoint"":16.5},{""name"":""future"",""point"":2,""maxpoint"":3},{""name"":""financials"",""point"":2,""maxpoint"":7.5},{""name"":""dividend"",""point"":10.5,""maxpoint"":21.5},{""updatedAt"":""2025-01-11T23:03:50.961Z""}]},{""symbol"":""NINE.JK"",""name"":""PT Techno9 Indonesia Tbk"",""market_cap_rank"":574,""employee_num"":7,""point_summaries"":[{""name"":""value"",""point"":null,""maxpoint"":null},{""name"":""competitive"",""point"":6,""maxpoint"":16.5},{""name"":""future"",""point"":2,""maxpoint"":3},{""name"":""financials"",""point"":0,""maxpoint"":0},{""name"":""dividend"",""point"":1.5,""maxpoint"":15.5},{""updatedAt"":""2025-01-03T23:02:39.020Z""}]}]","{""symbol"":""NINE.JK"",""name"":""PT Techno9 Indonesia Tbk"",""market_cap_change"":13.3333320673775}","{""symbol"":""NINE.JK"",""name"":""PT Techno9 Indonesia Tbk"",""price_change"":13.3333333333333}"
Healthcare Equipment & Supplies,Healthcare Supplies & Distributions,7370585333760,7,"[{""symbol"":""OMED.JK"",""name"":""PT Jayamas Medica Industri Tbk"",""market_cap_rank"":199,""employee_num"":1091,""point_summaries"":[{""name"":""value"",""point"":4,""maxpoint"":20},{""name"":""competitive"",""point"":8,""maxpoint"":21},{""name"":""future"",""point"":16,""maxpoint"":18},{""name"":""financials"",""point"":20.5,""maxpoint"":27},{""name"":""dividend"",""point"":4,""maxpoint"":21.5},{""updatedAt"":""2025-01-07T23:01:57.545Z""}]},{""symbol"":""IRRA.JK"",""name"":""PT Itama Ranoraya Tbk."",""market_cap_rank"":515,""employee_num"":229,""point_summaries"":[{""name"":""value"",""point"":8.5,""maxpoint"":20},{""name"":""competitive"",""point"":6,""maxpoint"":21},{""name"":""future"",""point"":16,""maxpoint"":18},{""name"":""financials"",""point"":7,""maxpoint"":27},{""name"":""dividend"",""point"":3.5,""maxpoint"":21.5},{""updatedAt"":""2025-01-09T23:02:53.613Z""}]},{""symbol"":""LABS.JK"",""name"":""PT UBC Medical Indonesia Tbk"",""market_cap_rank"":535,""employee_num"":64,""point_summaries"":[{""name"":""value"",""point"":null,""maxpoint"":null},{""name"":""competitive"",""point"":0,""maxpoint"":10.5},{""name"":""future"",""point"":16,""maxpoint"":18},{""name"":""financials"",""point"":0,""maxpoint"":0},{""name"":""dividend"",""point"":1.5,""maxpoint"":15.5},{""updatedAt"":""2024-12-31T23:02:43.155Z""}]}]","{""symbol"":""HALO.JK"",""name"":""PT Haloni Jane Tbk"",""market_cap_change"":0.0800019161996703}","{""symbol"":""HALO.JK"",""name"":""PT Haloni Jane Tbk"",""price_change"":0.08}"
Electrical,Electrical Components & Equipment,5662553014272,7,"[{""symbol"":""SCCO.JK"",""name"":""PT Supreme Cable Manufacturing & Commerce Tbk"",""market_cap_rank"":358,""employee_num"":802,""point_summaries"":[{""name"":""value"",""point"":8,""maxpoint"":17},{""name"":""competitive"",""point"":6,""maxpoint"":21},{""name"":""future"",""point"":4.5,""maxpoint"":18},{""name"":""financials"",""point"":5.5,""maxpoint"":12},{""name"":""dividend"",""point"":10.5,""maxpoint"":21.5},{""updatedAt"":""2025-01-11T23:03:52.260Z""}]},{""symbol"":""KBLI.JK"",""name"":""KMI Wire and Cable Tbk"",""market_cap_rank"":381,""employee_num"":826,""point_summaries"":[{""name"":""value"",""point"":8,""maxpoint"":23},{""name"":""competitive"",""point"":10.5,""maxpoint"":21},{""name"":""future"",""point"":4.5,""maxpoint"":18},{""name"":""financials"",""point"":15,""maxpoint"":27},{""name"":""dividend"",""point"":7,""maxpoint"":19.5},{""updatedAt"":""2024-12-31T23:02:43.101Z""}]},{""symbol"":""VOKS.JK"",""name"":""Voksel Electric Tbk"",""market_cap_rank"":459,""employee_num"":898,""point_summaries"":[{""name"":""value"",""point"":null,""maxpoint"":null},{""name"":""competitive"",""point"":0,""maxpoint"":16.5},{""name"":""future"",""point"":4.5,""maxpoint"":18},{""name"":""financials"",""point"":0,""maxpoint"":7.5},{""name"":""dividend"",""point"":1.5,""maxpoint"":15.5},{""updatedAt"":""2025-01-05T23:01:58.205Z""}]}]","{""symbol"":""JECC.JK"",""name"":""Jembo Cable Company Tbk"",""market_cap_change"":0.255144057878934}","{""symbol"":""JECC.JK"",""name"":""Jembo Cable Company Tbk"",""price_change"":0.255144032921811}"
Machinery,Industrial Machinery & Components,5249026351104,7,"[{""symbol"":""MARK.JK"",""name"":""PT Mark Dynamics Indonesia Tbk."",""market_cap_rank"":220,""employee_num"":521,""point_summaries"":[{""name"":""value"",""point"":3,""maxpoint"":23},{""name"":""competitive"",""point"":15,""maxpoint"":21},{""name"":""future"",""point"":4.5,""maxpoint"":18},{""name"":""financials"",""point"":22.5,""maxpoint"":27},{""name"":""dividend"",""point"":14.5,""maxpoint"":21.5},{""updatedAt"":""2025-01-05T23:01:57.696Z""}]},{""symbol"":""GPSO.JK"",""name"":""PT Geoprima Solusi Tbk"",""market_cap_rank"":606,""employee_num"":16,""point_summaries"":[{""name"":""value"",""point"":null,""maxpoint"":null},{""name"":""competitive"",""point"":6,""maxpoint"":16.5},{""name"":""future"",""point"":4.5,""maxpoint"":18},{""name"":""financials"",""point"":6,""maxpoint"":7.5},{""name"":""dividend"",""point"":1.5,""maxpoint"":15.5},{""updatedAt"":""2025-01-05T23:01:57.448Z""}]},{""symbol"":""LABA.JK"",""name"":""PT Green Power Group Tbk"",""market_cap_rank"":654,""employee_num"":31,""point_summaries"":[{""name"":""value"",""point"":null,""maxpoint"":null},{""name"":""competitive"",""point"":6,""maxpoint"":16.5},{""name"":""future"",""point"":4.5,""maxpoint"":18},{""name"":""financials"",""point"":0,""maxpoint"":0},{""name"":""dividend"",""point"":1.5,""maxpoint"":15.5},{""updatedAt"":""2025-01-09T23:02:53.794Z""}]}]","{""symbol"":""GPSO.JK"",""name"":""PT Geoprima Solusi Tbk"",""market_cap_change"":8.28030336807254}","{""symbol"":""GPSO.JK"",""name"":""PT Geoprima Solusi Tbk"",""price_change"":8.28030303030303}"
Apparel & Luxury Goods,"Clothing, Accessories & Bags",4200633954304,6,"[{""symbol"":""HRTA.JK"",""name"":""PT Hartadinata Abadi Tbk"",""market_cap_rank"":370,""employee_num"":841,""point_summaries"":[{""name"":""value"",""point"":5,""maxpoint"":23},{""name"":""competitive"",""point"":12,""maxpoint"":21},{""name"":""future"",""point"":19.5,""maxpoint"":30},{""name"":""financials"",""point"":4.5,""maxpoint"":27},{""name"":""dividend"",""point"":9.5,""maxpoint"":19.5},{""updatedAt"":""2025-01-01T23:02:36.189Z""}]},{""symbol"":""POLU.JK"",""name"":""PT Golden Flower Tbk."",""market_cap_rank"":392,""employee_num"":894,""point_summaries"":[{""name"":""value"",""point"":0,""maxpoint"":23},{""name"":""competitive"",""point"":10,""maxpoint"":21},{""name"":""future"",""point"":13.5,""maxpoint"":18},{""name"":""financials"",""point"":12,""maxpoint"":27},{""name"":""dividend"",""point"":1.5,""maxpoint"":15.5},{""updatedAt"":""2025-01-05T23:01:57.856Z""}]},{""symbol"":""TRIS.JK"",""name"":""Trisula International Tbk"",""market_cap_rank"":542,""employee_num"":3640,""point_summaries"":[{""name"":""value"",""point"":null,""maxpoint"":null},{""name"":""competitive"",""point"":0,""maxpoint"":16.5},{""name"":""future"",""point"":13.5,""maxpoint"":18},{""name"":""financials"",""point"":6,""maxpoint"":7.5},{""name"":""dividend"",""point"":9,""maxpoint"":21.5},{""updatedAt"":""2025-01-05T23:01:58.131Z""}]}]","{""symbol"":""POLU.JK"",""name"":""PT Golden Flower Tbk."",""market_cap_change"":1.78787880071718}","{""symbol"":""POLU.JK"",""name"":""PT Golden Flower Tbk."",""price_change"":1.78787878787879}"
